Edward Norton
Zach Grenier
Jared Leto
Meat Loaf
Marlon Brando
James Caan
Robert Duvall
John Cazale
Kurt Russell
Channing Tatum
Tim Roth
Walton Goggins
Eli Wallach
Lee Van Cleef
Luigi Pistilli
Heath Ledger
Cillian Murphy
Gary Oldman
Michael Caine
Morgan Freeman
Fionn Whitehead
Harry Styles
Cillian Murphy
Morgan Freeman
Bob Gunton
James Whitmore
Joey King
Mackenzie Foy
Lili Taylor
Ian McKellen
Richard Armitage
Ken Stott
James Nesbitt
Jonah Hill
Dave Franco
Ice Cube
Bradley Whitford
Catherine Keener
Caleb Landry Jones
Jon Hamm
Jamie Foxx
Kevin Spacey
Jon Bernthal
Gian Maria 
Mario Brega
Wolfgang Lukschy
Jack Nicholson
Cuba Gooding Jr
Kevin Bacon
Matt Damon
Michael Caine
Casey Affleck
James Garner
James Marsdon
